Index,Org,Dst,CO2/kt,NOx/t,CO/t,HC/t
762,ZUH,KMG,2.57,13.16,2,0.2
763,TNA,LHW,2.56,11.92,2.37,0.22
764,FOC,TSN,3.32,16.46,2.25,0.22
765,TSN,HGH,2.4,12.06,2.01,0.18
766,JJN,KWE,2.93,15.2,2.42,0.25
767,CTU,URC,4.4,22.61,2.99,0.23
768,NGB,KMG,3.58,17.44,3.41,0.33
769,TSN,FOC,2.87,14.22,1.96,0.19
770,XNN,PVG,2.82,12.65,2.93,0.24
771,URC,CTU,3.98,20.09,2.66,0.19
772,XMN,HSN,2.06,10.89,1.53,0.15
773,SHE,PEK,2.31,12.31,2.14,0.19
774,TFU,BHY,2.46,13.03,2.03,0.16
775,CTU,FOC,3.57,20.31,2.25,0.2
776,HGH,TSN,2.52,12.84,1.83,0.16
777,LJG,CGO,2.57,11.61,2.63,0.23
778,CGQ,YNT,1.58,7.51,1.81,0.18
779,BHY,TFU,2.28,12.16,1.98,0.17
780,PVG,HET,3.29,16.37,3.12,0.28
781,YNT,CGQ,1.9,9.24,2.03,0.2
782,FOC,TAO,3.19,16.38,2.33,0.24
783,FOC,CTU,3.93,21.71,2.78,0.24
784,CGO,LJG,3.27,15.44,3.42,0.31
785,CZX,CAN,2.3,10.94,2.3,0.2
786,TYN,SHE,1.74,8.65,1.68,0.17
787,WUX,PKX,2.08,10.74,2.03,0.2
788,TAO,FOC,2.23,10.37,1.86,0.18
789,PKX,WUX,1.73,8.99,1.71,0.17
790,HFE,SHE,2.32,10.94,2.16,0.21
791,WNZ,CGO,2.33,11.17,1.97,0.18
792,KWL,PKX,3.3,17.03,2.51,0.26
793,CGO,WNZ,2.22,11.35,1.71,0.16
794,XIY,KWL,1.8,9.15,2.01,0.2
795,LJG,NKG,3.05,13.98,3.05,0.24
796,CAN,CZX,2.36,12.05,2.22,0.21
797,WUH,KWE,2.24,11.44,1.78,0.17
798,NKG,LJG,3.24,13.61,3.83,0.28
799,PKX,KWL,3.33,16.57,2.66,0.27
800,JJN,CGO,2.5,12.44,2.19,0.21
801,KWE,WUH,1.57,7.75,1.15,0.11
802,WUH,HGH,1.79,9.76,1.36,0.14
803,SHE,HFE,2.99,14.4,2.65,0.25
804,PEK,SHE,1.5,8.1,1.25,0.11
805,CSX,FOC,1.8,9.72,1.38,0.14
806,CGO,JJN,2.39,11.98,2.05,0.2
807,XIY,YNT,2.21,10.17,2.19,0.17
808,SZX,NTG,2.51,13.18,1.9,0.2
809,XMN,PVG,1.81,9.52,1.6,0.16
810,SZX,XUZ,2.87,15.1,2.35,0.24
811,WUX,CTU,3.11,15.06,3.07,0.27
812,CTU,WUX,2.87,15.56,2.39,0.24
813,DLC,CAN,3.58,17.07,3.06,0.27
814,CKG,NGB,2.54,13.01,2.37,0.25
815,NGB,CKG,2.77,13.56,2.72,0.26
816,HET,PVG,2.79,14.24,2.52,0.24
817,KMG,NGB,3.46,18.48,2.99,0.32
818,PVG,XNN,3.55,15.26,3.93,0.29
819,FOC,CSX,1.66,8.71,1.39,0.14
820,PVG,YNT,1.31,6.24,1.66,0.14
821,XUZ,SZX,2.27,10.42,2.02,0.19
822,HRB,WUH,3.39,15.71,2.2,0.18
823,CGQ,WUH,3.06,14.42,2.3,0.19
824,YNT,XIY,2.23,9.55,2.25,0.15
825,DLU,TFU,1.18,6.06,1.33,0.14
826,WUH,CGQ,3.75,19.54,2.75,0.25
827,KWL,XIY,1.62,8.45,1.73,0.18
828,XMN,NNG,2.58,13.72,1.86,0.18
829,NTG,SZX,2.4,11.87,2,0.2
830,WUH,HRB,3.75,18.71,2.55,0.24
831,WEH,PEK,1.45,7.45,1.45,0.12
832,PEK,WEH,1.48,7.99,1.4,0.12
833,TAO,CTU,4.02,20.43,3,0.21
834,LXA,KMG,2.24,10.33,1.97,0.15
835,CAN,DLC,3.94,20.56,3.15,0.31
836,XIY,HFE,1.6,8.2,1.44,0.14
837,NNG,XMN,1.7,8.23,1.44,0.14
838,KMG,LXA,3.18,14.6,2.91,0.24
839,NNG,PKX,3.4,17.14,2.44,0.26
840,LHW,TSN,2.16,10.06,2.01,0.19
841,CGQ,HFE,2.75,12.97,2.84,0.28
842,SHA,CGO,1.81,9.42,1.9,0.19
843,NKG,FOC,1.29,6.47,1.36,0.14
844,TSN,LHW,2.48,11.3,1.86,0.15
845,CSX,LJG,2.57,12.74,2.65,0.26
846,TFU,DLU,1.36,7.06,1.59,0.17
847,PKX,NNG,3.61,17.42,2.84,0.28
848,HFE,XIY,1.67,7.66,1.66,0.14
849,TSN,CGQ,2.18,11.12,1.85,0.18
850,KHN,NNG,2.47,12.46,1.93,0.18
851,HFE,CGQ,2.61,12.85,2.54,0.25
852,LJG,CSX,2.04,9.59,1.94,0.18
853,PVG,URC,5.74,25.85,4.67,0.41
854,SWA,CKG,2.86,15.68,2.44,0.26
855,CGQ,TSN,1.75,7.66,1.59,0.13
856,KHN,CAN,1.56,7.36,1.64,0.12
857,NNG,FOC,2.01,9.8,1.55,0.15
858,CKG,SWA,2.35,12.25,2.1,0.22
859,FOC,NNG,2.85,14.78,1.92,0.19
860,NNG,KHN,1.63,8.05,1.25,0.12
861,DLC,TYN,1.63,7.99,1.8,0.18
862,FOC,NKG,1.58,8.34,1.36,0.14
863,SHE,WUX,2.54,12.79,2.06,0.2
864,WUX,SHE,2.39,11.98,1.91,0.18
865,CAN,KHN,1.21,5.78,1.29,0.1
866,URC,PVG,4.97,24.24,3.58,0.36
867,CSX,JJN,1.65,8.93,1.37,0.14
868,XIY,LJG,2.06,8.8,2.66,0.21
869,DLC,CSX,2.53,12.13,2.19,0.2
870,SZX,LJG,2.79,13.62,3.03,0.29
871,CSX,DLC,2.96,15.41,2.53,0.25
872,LJG,XIY,1.86,8.54,2.16,0.18
873,CKG,JJN,2.25,10.68,2.04,0.2
874,JJN,CKG,2.8,13.81,2.41,0.24
875,KWE,TSN,2.84,14.43,1.88,0.19
876,PVG,TYN,2.21,10.36,2.4,0.23
877,LJG,SZX,2.03,9.31,2.2,0.2
878,TYN,DLC,1.39,7.47,1.55,0.17
879,TYN,PVG,1.92,8.98,2.26,0.23
880,TSN,KWE,3.3,15.23,2.34,0.21
881,CGO,CTU,2.28,11.79,1.81,0.11
882,KWL,HAK,1.35,7.14,1.6,0.17
883,HRB,HEK,0.97,4.86,1.36,0.14
884,TFU,KHG,4.34,19.49,3.39,0.25
885,NTG,CAN,2.19,10.31,1.94,0.17
886,CTU,CGO,1.89,9.7,1.63,0.12
887,LHW,SZX,2.81,13.08,2.42,0.2
888,SZX,LHW,3.36,16.77,2.98,0.27
889,JJN,SHA,1.48,7.8,1.22,0.12
890,HAK,KWL,1.13,6.62,1.23,0.14
891,LHW,CGO,1.68,7.83,1.57,0.15
892,CGO,NGB,1.93,9.88,1.58,0.16
893,MIG,PEK,2.47,13.23,1.98,0.18
894,KHG,TFU,3.7,16.68,2.8,0.21
895,CGQ,TFU,4.04,20.71,3.05,0.27
896,CAN,NTG,2.07,10.39,1.85,0.18
897,PEK,MIG,2.13,11.27,1.85,0.17
898,TFU,CGQ,3.87,21.47,2.78,0.28
899,CGO,LHW,2.04,10.17,1.88,0.18
900,TFU,JHG,1.72,7.83,2.16,0.18
901,CSX,WUX,1.86,10.36,1.45,0.14
902,NGB,CGO,1.98,9.56,1.73,0.17
903,SHA,JJN,1.58,7.99,1.33,0.13
904,PVG,DYG,2.16,10.11,2.39,0.23
905,PEK,HFE,1.42,8.47,1.27,0.15
906,DLC,NGB,1.71,8.64,1.54,0.15
907,NGB,DLC,2,10.62,1.8,0.19
908,JHG,TFU,1.48,6.84,1.75,0.15
909,DYG,PVG,1.69,8.42,1.73,0.18
910,XMN,HFE,1.87,9.83,1.49,0.15
911,CKG,INC,1.47,7.95,1.33,0.15
912,HFE,XMN,1.17,5.55,1.15,0.11
913,HGH,SWA,1.57,7.52,1.7,0.14
914,HET,HGH,2.44,12.02,2.02,0.18
915,HGH,HET,2.56,12.27,2.19,0.19
916,CGO,INC,2.08,10.49,1.4,0.13
917,PVG,TNA,1.46,7.28,1.61,0.16
918,SWA,HGH,1.65,7.97,1.61,0.12
919,XIY,CKG,1.03,6.43,1.05,0.12
920,SWA,TFU,2.8,15.67,2.18,0.23
921,TFU,SWA,2.59,14.42,1.88,0.2
922,INC,CKG,1.36,7.4,1.24,0.14
923,INC,CSX,2.11,10.79,1.57,0.15
924,CSX,INC,2.64,14.03,2.07,0.2
925,CKG,XIY,1.03,6.36,1.05,0.12
926,CSX,HGH,1.79,10.66,1.3,0.14
927,INC,CGO,1.48,7.04,1.11,0.1
928,SYX,CTU,2.22,10.6,2.4,0.23
929,CTU,SYX,2.57,13.11,2.58,0.25
930,TNA,PVG,1.17,5.55,1.45,0.15
931,HGH,CSX,1.5,8.4,1.26,0.13
932,NKG,INC,2.26,10.08,2.23,0.19
933,TFU,ZHA,2.15,10.78,1.91,0.16
934,BSD,KMG,0.84,4.07,0.78,0.07
935,HRB,SJW,2.04,11.22,1.56,0.17
936,LXA,MIG,1.63,6.8,1.75,0.09
937,MIG,LXA,2.03,8.13,2.37,0.12
938,HFE,PEK,1.35,8.03,1.21,0.14
939,YIW,TFU,2.67,13.96,2.17,0.19
940,CTU,NNG,1.95,10.95,1.56,0.13
941,CTU,XNN,1.21,4.83,1.51,0.06
942,NNG,CTU,1.81,9.82,1.45,0.11
943,SYX,TNA,3.82,21.09,2.64,0.3
944,KMG,SWA,2.2,11.26,1.64,0.17
945,TFU,YIW,2.74,15.66,1.9,0.19
946,TNA,SYX,3.53,19.19,2.52,0.28
947,ZHA,TFU,1.92,9.38,1.78,0.15
948,JJN,KMG,2.7,13.16,2.12,0.21
949,KMG,JJN,2.4,12.1,1.79,0.18
950,TYN,TAO,1.66,8.48,1.34,0.14
951,SWA,KMG,2.37,11.63,1.87,0.18
952,INC,NKG,2.21,10.98,1.71,0.15
953,KHN,TYN,1.92,9.57,1.81,0.17
954,SWA,HAK,1.56,8.15,1.53,0.16
955,PVG,JHG,3.48,15.93,2.77,0.25
956,CTU,TAO,2.88,16.19,2.04,0.19
957,SHA,LHW,2.7,12.91,2.89,0.28
958,TYN,KHN,1.43,6.77,1.41,0.13
959,LHW,SHA,2.17,10.97,1.96,0.2
960,HRB,XUZ,2.47,12.33,2.57,0.26
961,HYN,CAN,1.67,7.92,1.76,0.17
962,KWE,SJW,1.83,9.41,1.59,0.17
963,SZX,SJW,2.68,13.42,2.35,0.23
964,JHG,PVG,3.06,14.93,2.17,0.22
965,XNN,CTU,0.97,3.68,1.3,0.05
966,CAN,HYN,1.57,7.95,1.63,0.17
967,HAK,SWA,1.17,5.87,1.29,0.13
968,TAO,TYN,1.25,6.28,1.04,0.1
969,JHG,CKG,1.58,7.58,1.86,0.18
970,CKG,JHG,1.61,7.2,2.04,0.19
971,XUZ,HRB,2.11,10.57,2.12,0.21
972,WUH,YNT,1.87,9.46,1.57,0.15
973,YNT,WUH,1.49,6.9,1.38,0.13
974,SHE,HET,1.78,8.54,1.72,0.16
975,KMG,INC,2.45,12,2.34,0.23
976,TFU,HET,2.06,10.2,1.66,0.16
977,NTG,CSX,1.45,7,1.26,0.12
978,PVG,PEK,3.73,18.19,7.14,0.57
979,NNG,SHA,2,9.88,1.7,0.18
980,JJN,TFU,2.58,13.33,2.29,0.23
981,CAN,LYI,2.25,11.4,2.05,0.21
982,HET,SHE,1.46,6.7,1.4,0.13
983,LHW,KHN,1.91,9.6,1.66,0.16
984,KHN,LHW,2.28,11.28,2.22,0.21
985,CSX,JHG,2.39,11.61,2.19,0.2
986,INC,KMG,2.03,9.1,2.09,0.19
987,CAN,YTY,1.93,9.71,1.73,0.17
988,KRL,TFU,2.69,12.82,2.1,0.15
989,ZUH,HFE,2.24,12.38,1.64,0.17
990,HUZ,PVG,1.8,9.22,1.9,0.2
991,YTY,CAN,1.81,8.36,1.79,0.16
992,TSN,INC,1.87,8.81,1.3,0.11
993,HFE,ZUH,1.74,8.55,1.43,0.14
994,TFU,JJN,2.17,11.01,1.91,0.19
995,HET,TFU,2.16,10.17,1.6,0.14
996,LYI,CAN,1.88,8.48,1.9,0.18
997,CSX,NTG,1.76,9.49,1.29,0.13
998,SJW,KWE,1.98,9.67,1.79,0.19
999,TSN,KHN,1.7,8.07,1.18,0.1
1000,LZY,TFU,1.12,4.19,1.47,0.06
1001,NNG,HFE,1.93,9.57,1.65,0.16
1002,AKU,TFU,2.86,12.81,2.31,0.16
1003,TFU,KRL,3.12,14.7,2.4,0.18
1004,SYX,SHE,3.76,17.27,3.19,0.29
1005,YIW,SWA,1.19,5.82,1.15,0.11
1006,HRB,WEH,1.46,6.49,1.73,0.13
1007,MIG,PVG,2.31,12.72,1.91,0.21
1008,SHE,SYX,4.08,18.94,3.56,0.32
1009,INC,HGH,2.48,13.07,2.05,0.19
1010,PVG,XMN,1.24,5.86,1.23,0.12
1011,XNN,CSX,1.84,8.76,1.66,0.15
1012,SJW,HRB,1.63,8.73,1.24,0.13
1013,SWA,YIW,1.42,7.41,1.22,0.12
1014,HGH,INC,2.66,13.32,2.62,0.23
1015,WEH,HRB,1.37,6.01,1.79,0.14
1016,HFE,NNG,1.95,9.14,1.86,0.18
1017,YCU,PEK,1.47,7.41,1.36,0.14
1018,TFU,AKU,3.22,14.41,2.62,0.19
1019,INC,TSN,1.52,7.31,1.33,0.13
1020,KHN,ZUH,1.58,8.31,1.06,0.1
1021,TFU,LZY,1.36,5.05,1.8,0.07
1022,HRB,SYX,4.64,22.29,2.95,0.19
1023,YIH,PVG,1.29,6.53,1.43,0.15
1024,TFU,HUZ,1.72,7.75,1.69,0.14
1025,LHW,KWE,1.59,8.13,1.38,0.14
1026,SYX,HRB,4.41,21.01,2.71,0.17
1027,CSX,XNN,2.34,11.61,2.1,0.2
1028,HUZ,TFU,1.93,9.45,2.1,0.19
1029,PVG,YIH,1.57,7.58,1.72,0.17
1030,XNN,PEK,1.8,7.64,2.07,0.13
1031,ZUH,KHN,1.31,7.06,0.88,0.09
1032,DLC,HFE,1.24,6.1,1.15,0.1
1033,JHG,CSX,1.8,8.5,1.52,0.13
1034,KWE,TYN,1.56,8.06,1.37,0.15
1035,SZX,YIW,1.78,9.46,1.26,0.13
1036,SZX,YIH,1.37,6.85,1.25,0.11
1037,SWA,NKG,1.64,8.3,1.48,0.14
1038,HFE,DLC,1.3,6.24,1.27,0.11
1039,SYX,SJW,3.23,16.84,2.52,0.27
1040,SJW,SYX,3.24,16.69,2.51,0.26
1041,KWE,LHW,1.59,8.07,1.46,0.15
1042,PEK,XNN,1.45,6.9,1.43,0.12
1043,SZX,MIG,2.11,9.95,1.68,0.1
1044,CTU,WNZ,2.14,11.25,1.6,0.16
1045,PKX,LJG,2.44,11.38,2.39,0.24
1046,TYN,KWE,1.64,8.16,1.51,0.16
1047,SJW,SZX,2.11,9.57,1.9,0.17
1048,NKG,SWA,1.47,6.98,1.39,0.13
1049,CKG,LHW,1.24,6.25,1.32,0.12
1050,JJN,PVG,1.26,6.33,1.3,0.13
1051,CGO,SHA,1.36,7.17,1.27,0.12
1052,PVG,JJN,1.2,5.41,1.46,0.14
1053,PVG,MIG,2.7,14.05,2.39,0.24
1054,YIN,TFU,2.7,12.02,2.05,0.14
1055,WNZ,CTU,2.32,11.12,2.25,0.21
1056,PEK,PVG,2.65,14.44,2.51,0.17
1057,CGQ,CSX,2.97,15.68,2.06,0.18
1058,CSX,CGQ,3.53,19.82,2.48,0.24
1059,CGQ,HET,1.37,6.96,1.37,0.14
1060,PKX,NKG,1.04,4.84,1.2,0.1
1061,CZX,SZX,1.91,10.01,1.5,0.15
1062,TFU,YIN,3.1,13.8,2.4,0.17
1063,LJG,PKX,2.55,12.42,2.31,0.24
1064,YIW,SZX,1.39,6.95,1.07,0.11
1065,KHN,TSN,1.98,9.79,1.2,0.1
1066,CGO,KWL,1.78,8.64,1.77,0.16
1067,JMU,PEK,1.77,9.33,1.38,0.15
1068,HET,CSX,1.88,9.06,1.35,0.12
1069,WUH,XNN,2.16,10.66,2,0.19
1070,SZX,CZX,2.05,11.85,1.52,0.16
1071,HET,CGQ,1.44,6.95,1.41,0.13
1072,KWL,TSN,2.04,9.81,1.71,0.17
1073,TSN,KWL,2.42,11.64,1.91,0.18
1074,PEK,JMU,1.71,9.05,1.31,0.14
1075,WNZ,CSX,1.19,6.46,0.9,0.09
1076,XNN,WUH,1.68,7.99,1.19,0.1
1077,CSX,HET,2.13,10.6,1.71,0.15
1078,CSX,WNZ,1.26,7.45,0.86,0.09
1079,KWL,CGO,1.44,6.83,1.49,0.13
1080,LHW,CKG,1.05,5.47,1.05,0.1
1081,CGQ,CTU,3.37,17.33,2.05,0.13
1082,SYX,KHN,1.72,8.46,1.29,0.13
1083,MIG,SZX,1.69,7.6,1.37,0.08
1084,NKG,TAO,0.85,4.39,0.81,0.08
1085,SZX,DLC,3.32,18.85,2.41,0.26
1086,NNG,LHW,1.94,9.19,1.94,0.19
1087,LHW,NNG,1.89,8.91,1.82,0.18
1088,YNT,JMU,1.75,7.53,1.94,0.13
1089,YTY,SZX,1.65,7.59,1.77,0.17
1090,NKG,PKX,1.12,4.95,1.33,0.1
1091,JMU,YNT,1.51,6.38,1.68,0.11
1092,KWL,PEK,2.34,11.63,1.77,0.18
1093,SZX,YTY,1.81,9.3,1.7,0.17
1094,PEK,KWL,2.27,10.71,1.91,0.18
1095,WUH,INC,2.05,11.41,1.75,0.18
1096,TNA,KHN,1.05,4.86,0.88,0.08
1097,KHN,TNA,1.62,8.34,1.16,0.11
1098,DLC,SZX,2.72,14.57,2.05,0.21
1099,YNT,CGO,1.02,4.49,1.03,0.07
1100,HET,URC,2.71,13.06,1.98,0.17
1101,CTU,CGQ,3.04,17.1,1.54,0.14
1102,TSN,SYX,3.3,17.18,2.79,0.28
1103,SYX,TSN,3.16,16.01,2.47,0.24
1104,TAO,WNZ,1.18,6.39,1.08,0.12
1105,KHN,SYX,2.04,10.87,1.6,0.17
1106,CGO,YNT,1.28,6.25,1.03,0.08
1107,WNZ,TAO,1.86,10.37,1.6,0.17
1108,URC,HET,2.49,11.88,1.75,0.15
1109,BAV,CIF,1.25,6.35,1.34,0.14
1110,KWE,HFE,1.48,7.45,1.25,0.13
1111,CIF,BAV,1.05,5.09,1.35,0.14
1112,CAN,CSX,0.79,4.27,0.8,0.08
1113,PKX,JJN,2,9.52,1.41,0.13
1114,JJN,PKX,2.25,11.21,1.64,0.16
1115,TFU,JZH,0.55,2.26,0.84,0.04
1116,SHE,CZX,1.67,8.02,1.86,0.18
1117,TAO,NKG,0.68,3.71,0.67,0.07
1118,HFE,KWE,1.49,6.91,1.39,0.13
1119,INC,WUH,1.61,8.65,0.9,0.09
1120,DSN,PEK,1.03,5.43,0.83,0.09
1121,WUH,BHY,1.72,8.61,1.72,0.17
1122,CKG,NTG,1.69,8.65,1.13,0.11
1123,TAO,HET,1.41,6.54,1.31,0.13
1124,HET,TAO,1.6,7.91,1.22,0.12
1125,NTG,CKG,1.86,8.89,1.48,0.14
1126,XUZ,KMG,2.08,9.69,1.99,0.18
1127,SYX,TYN,2.71,14.36,2.11,0.23
1128,TYN,SYX,2.68,14.07,2.1,0.22
1129,HAK,TNA,2.65,13.54,2.01,0.21
1130,CTU,KHN,1.39,6.77,1.25,0.09
1131,KHN,CTU,1.66,7.7,1.67,0.12
1132,KMG,XUZ,2.33,12.58,1.79,0.19
1133,CKG,CZX,1.45,7.47,1.41,0.14
1134,YIH,SZX,1.12,5.34,1.04,0.09
1135,CZX,CKG,1.6,7.68,1.77,0.17
1136,CTU,BPX,0.86,3.4,1.17,0.05
1137,BPX,CTU,0.67,2.58,0.95,0.04
1138,TYN,XMN,1.81,8.92,1.04,0.07
1139,TNA,HAK,2.44,12.16,1.87,0.19
1140,CGQ,YTY,1.62,7.38,2.04,0.2
1141,YTY,CGQ,1.54,7.17,1.78,0.18
1142,MDG,PEK,1.69,8.08,1.4,0.14
1143,NNG,CSX,0.87,4.14,0.76,0.07
1144,TNA,FOC,1.46,6.96,1.15,0.11
1145,CTU,NGB,2.04,10.62,1.79,0.18
1146,SHA,TNA,1.24,7.11,0.99,0.11
1147,PEK,NTG,1.26,6.95,0.98,0.09
1148,LYG,SHE,1.1,5.26,1.01,0.1
1149,FOC,TNA,1.82,9.3,1.54,0.16
1150,PKX,HFE,0.9,4.8,0.96,0.11
1151,NKG,YNT,0.9,4.63,0.77,0.08
1152,XMN,TYN,2.22,11.77,1.25,0.08
1153,SHE,LYG,1.43,7.23,1.23,0.12
1154,DLC,WUX,1.03,5.36,1.01,0.1
1155,NGB,CTU,2.05,9.77,2.02,0.18
1156,BHY,WUH,1.1,5.34,1.2,0.12
1157,CSX,NNG,1.3,6.61,1.06,0.1
1158,HFE,CTU,1.61,7.63,1.51,0.1
1159,CTU,HFE,1.7,9.09,1.31,0.1
1160,WUX,DLC,1.15,5.98,1.1,0.11
1161,PEK,MDG,1.35,6.5,1.04,0.1
1162,HRB,HFE,1.93,10.22,1.62,0.17
1163,LJG,PEK,2.38,10.6,1.42,0.1
1164,NTG,PEK,1.47,8.05,1.12,0.1
1165,NKG,XNN,1.78,7.49,2.12,0.16
1166,YIW,KWE,1.89,10.58,1.41,0.15
1167,CKG,CGQ,2.09,10.3,1.85,0.2
1168,SZX,KHN,0.97,5.27,0.73,0.07
1169,SYX,NNG,0.84,4.48,0.98,0.1
1170,HFE,TYN,1.01,4.82,0.91,0.09
1171,URC,MIG,1.95,9.79,1.24,0.12
1172,PEK,LJG,2.27,9.58,1.68,0.1
1173,CGQ,CKG,2.33,11.01,2.12,0.21
1174,ZHA,WUH,1.13,5.49,1.2,0.12
1175,WUH,ZHA,1.76,8.79,1.72,0.17
1176,XNN,NKG,1.7,8.09,1.64,0.13
1177,HAK,TYN,2.59,12.56,2.14,0.16
1178,KWE,YIW,1.77,10.56,1.2,0.14
1179,CAN,YNT,2.36,11.24,1.8,0.18
1180,HFE,HRB,1.73,8.92,1.45,0.15
1181,CGQ,LYI,1.38,6.39,1.68,0.17
1182,TNA,SHA,0.87,4.65,0.64,0.07
1183,LYI,CGQ,1.28,5.99,1.51,0.15
1184,KHN,HET,1.82,9.03,1.52,0.15
1185,HET,KHN,1.54,7.47,1.17,0.11
1186,TYN,HFE,1.13,5.63,0.95,0.09
1187,TYN,HAK,2.55,11.99,2.2,0.15
1188,CTU,HAK,1.82,9.53,1.56,0.14
1189,SZX,INC,2.36,11.14,2.07,0.16
1190,LJG,CTU,0.66,3.09,0.81,0.06
1191,HGH,XNN,2.01,7.58,2.53,0.11
1192,XNN,HGH,1.84,7.5,1.93,0.1
1193,HAK,CTU,1.63,8.11,1.45,0.13
1194,CTU,LJG,0.85,4.13,1.05,0.08
1195,INC,SZX,1.89,8.24,1.7,0.12
1196,YNT,CAN,1.9,8.33,1.61,0.15
1197,XNN,CGO,1.22,5.66,1.12,0.1
1198,CTU,INC,1.01,4.21,1.18,0.06
1199,JHG,NKG,2.03,9.7,1.88,0.17
1200,CZX,SHE,1.34,6.31,1.46,0.14
1201,PVG,KHN,0.76,3.84,0.92,0.1
1202,CTU,SJW,1.42,6.91,1.46,0.12
1203,NKG,JHG,2.11,9.24,2.31,0.19
1204,KWL,TYN,1.61,8.04,1.54,0.15
1205,TYN,KWL,1.5,7.34,1.64,0.16
1206,YNT,NKG,0.77,4.09,0.67,0.07
1207,TAO,LHW,1.66,7.54,1.7,0.15
1208,CGO,XNN,1.59,7.74,1.41,0.13
1209,LHW,TAO,1.63,7.97,1.65,0.17
1210,HAK,FOC,1.33,6.68,0.83,0.08
1211,HFE,SYX,2,10.95,1.47,0.16
1212,FOC,HAK,1.64,8.76,0.98,0.1
1213,SYX,HFE,2.17,11.95,1.49,0.16
1214,KWE,TAO,2.06,10.85,1.45,0.15
1215,SJW,CTU,1.31,5.84,1.38,0.11
1216,INC,CTU,0.81,3.26,0.99,0.05
1217,HRB,NGB,1.87,8.8,1.89,0.18
1218,JJN,WUH,1.02,5.2,0.84,0.08
1219,HFE,TAO,0.74,3.86,0.82,0.09
1220,XNN,CKG,0.94,5.21,0.8,0.08
1221,URC,KWE,2.48,11.54,2.08,0.2
1222,TAO,HFE,0.71,3.69,0.77,0.08
1223,WUH,JJN,1.14,5.84,1.03,0.1
1224,SHE,CTU,2.58,12.54,2.23,0.2
1225,HET,HRB,1.23,5.62,0.99,0.08
1226,KMG,CZX,1.82,9.45,1.59,0.16
1227,NGB,HRB,1.97,9.67,1.98,0.2
1228,KHN,PVG,0.83,4.47,0.91,0.1
1229,HRB,HET,1.28,6.07,1.08,0.1
1230,KWE,SWA,1.09,5.26,1.01,0.1
1231,TAO,KWE,2.14,10.5,1.62,0.16
1232,MIG,URC,1.97,10.07,1.23,0.12
1233,CTU,SHE,2.1,10.71,1.8,0.18
1234,CZX,KMG,1.8,8.24,1.89,0.17
1235,SWA,KWE,1.38,6.97,1.21,0.12
1236,YNJ,PEK,1.49,7.43,1.26,0.13
1237,LUM,TFU,0.87,4.25,0.92,0.09
1238,DLC,TFU,2.1,10.14,1.49,0.14
1239,LXA,PEK,3.19,15.88,2.66,0.12
1240,SHE,YTY,1.44,7.04,1.66,0.17
1241,HUZ,WUH,1.01,5.29,0.93,0.1
1242,SZX,XFN,1.36,6.74,1.34,0.12
1243,BAV,CGO,0.86,3.98,0.88,0.08
1244,NNG,SYX,0.83,4.51,0.89,0.09
1245,KWE,URC,2.41,11.25,2.06,0.2
1246,TNA,ZUH,1.61,7.37,1.26,0.12
1247,WUH,HUZ,1.06,5.41,0.89,0.09
1248,YTY,SHE,0.98,4.54,1.17,0.11
1249,HGH,LJG,2.01,8.95,2.22,0.18
1250,LJG,HGH,1.76,8.44,1.68,0.15
1251,SJW,WNZ,1.4,6.87,1.02,0.1
1252,CKG,XNN,1.06,5.63,0.95,0.09
1253,INC,SHA,1.55,7.8,1.21,0.12
1254,LYI,HRB,1.29,6.01,1.58,0.16
1255,HAK,SJW,2.01,9.33,1.81,0.16
1256,SJW,XMN,1.54,7.24,1.27,0.12
1257,CGO,AKU,3.41,17.51,2.66,0.25
1258,SJW,HAK,2.01,9.03,1.88,0.16
1259,PEK,YNJ,1.1,6.07,0.81,0.09
1260,CTU,JHG,1.14,5.19,1.41,0.11
1261,XMN,SJW,1.86,9.26,1.6,0.16
1262,KWE,WUX,1.44,7.28,0.98,0.1
1263,WNZ,SJW,1.69,8.12,1.24,0.12
1264,HRB,LYI,1.42,6.61,1.71,0.17
1265,ZUH,TNA,1.97,9.91,1.54,0.16
1266,SHA,INC,1.92,9.19,1.74,0.17
1267,SHA,NNG,1.8,8.67,1.6,0.16
1268,TFU,LUM,0.97,4.74,1.08,0.1
1269,ZUH,TYN,1.86,9.35,1.26,0.12
1270,TYN,ZUH,1.69,7.96,1.14,0.11
1271,ZUH,TSN,2.07,10.44,1.54,0.15
1272,NTG,KMG,1.98,9.42,1.53,0.14
1273,PEK,LXA,2.75,12.77,2.48,0.12
1274,KMG,NTG,2.01,10.65,1.3,0.13
1275,AKU,CGO,2.75,14.19,1.96,0.18
1276,TSN,ZUH,1.9,9,1.5,0.14
1277,NAO,SZX,1.35,7.55,0.89,0.08
1278,LJG,TSN,1.99,9.16,1.44,0.11
1279,XNN,SZX,1.6,6.64,1.8,0.12
1280,SZX,XNN,2.02,9.01,2.19,0.16
1281,JHG,CTU,0.94,4.25,1.07,0.09
1282,TSN,LJG,2.17,9.44,1.91,0.13
1283,SZX,NAO,1.77,10.83,1.23,0.12
1284,SHE,KMG,2.69,11.63,2.31,0.14
1285,SHE,LHW,2.03,9.67,1.93,0.16
1286,SZX,LZO,1.6,8.88,1.12,0.1
1287,DLC,YTY,0.67,3.62,0.73,0.08
